Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bahrain,BHR,28717,29656,30551,31403,32208,32801,33062,33293,33559,33943,34495,35203,36057,37117,38439,40048,41977,44160,46389,48397,50022,51191,51984,52561,53144,53876,54805,55867,56968,57975,58817,59494,60688,62227,63796,65457,67211,69119,71318,73991,77281,81132,85475,90463,96270,102947,110679,119256,127850,135347,141037,144495,146087,146823,148104,150918,155554,161569,168134,174062,178564
"Bahamas, The",BHS,44128,45525,46992,48483,49950,51342,52639,53829,54867,55697,56294,56639,56760,56746,56677,56636,56623,56635,56659,56680,56644,56322,55990,55632,55209,54718,54145,53501,52821,52150,51660,52027,52426,52809,53129,53343,53445,53461,53438,53449,53627,54323,55095,55943,56839,57764,58725,59711,60684,61582,62373,63013,63510,63901,64237,64564,64882,65184,65462,65698,65889
Bosnia and Herzegovina,BIH,2611498,2641209,2667929,2692740,2713480,2728907,2738320,2742345,2742362,2740412,2737633,2736229,2739133,2741098,2740987,2738247,2732434,2724083,2714107,2703888,2694206,2690479,2703827,2716868,2729502,2741175,2753867,2766101,2769576,2753601,2711573,2640031,2544988,2439369,2341997,2266146,2216113,2187768,2175065,2168562,2161278,2151985,2142325,2132027,2121199,2109904,2098018,2084549,2067847,2045841,2017336,1981500,1939511,1894617,1851088,1811629,1777179,1746954,1720299,1695855,1672559
Belarus,BLR,5541766,5498539,5456899,5414847,5370261,5327265,5281469,5234313,5183803,5128878,5061496,4981753,4897996,4809523,4714698,4625987,4533373,4443919,4357973,4274272,4194898,4118594,4041007,3963186,3884720,3807158,3730271,3653104,3561979,3500006,3466314,3427851,3395342,3363016,3319567,3269569,3219771,3168072,3115862,3059960,2996577,2933092,2867027,2800401,2735436,2671686,2611003,2555356,2503383,2454844,2402066,2347623,2295865,2247579,2202165,2158923,2115365,2068303,2020372,1974004,1924485
Belize,BLZ,42326,43827,45375,46976,48659,50427,52301,54257,56235,58158,59915,61393,62755,64016,65221,66404,67555,68695,69911,71305,72973,74992,77270,79778,82399,85066,87789,90589,93368,96038,98531,100784,102877,105042,107622,110880,114919,119644,124811,130048,135036,139316,143358,147250,151171,155201,159374,163633,167948,172289,176621,180877,185069,189164,193168,197044,200796,204418,207916,211313,214616
Bermuda,BMU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,BOL,2312589,2347041,2382311,2418443,2455512,2493716,2532916,2573105,2614355,2656812,2700447,2745294,2791221,2838240,2886258,2935129,2985032,3009069,3022995,3034753,3043797,3050283,3054159,3056229,3057091,3057659,3057719,3057184,3055702,3053336,3049567,3044444,3040454,3065623,3090132,3113723,3136445,3158154,3178869,3198457,3216874,3234237,3253816,3273067,3291065,3307933,3323358,3337615,3350500,3362410,3373314,3383142,3391944,3405293,3421053,3435596,3448768,3460830,3471223,3480065,3487551
Brazil,BRA,38876458,39294349,39711702,40112607,40484458,40822183,41120610,41382996,41605172,41791621,41936390,42020991,42061773,42074670,42064666,42040548,42000525,41947038,41875321,41786718,41678056,41556701,41413021,41239803,41025668,40768903,40461769,40113249,39724495,39305246,38857061,38382111,37879934,37359884,36824175,36276253,35718094,35033639,34328880,33609034,32874567,32687356,32532199,32356591,32162492,31950579,31719371,31470391,31206854,30936531,30658541,30356010,30046545,29735221,29416964,29096331,28776239,28454529,28133824,27807885,27477555
Barbados,BRB,146036,146332,146734,147200,147631,147980,148228,148417,148608,148886,149190,149316,149575,149903,150230,150513,150734,150899,151006,151034,151175,152413,153580,154709,155833,156995,158220,159467,160761,162075,163422,164989,166559,168129,169733,171365,173020,174705,176406,178089,179667,180857,182015,183160,184338,185574,186891,188260,189647,190976,192216,193280,194183,194943,195595,196165,196649,197043,197360,197591,197737
Brunei Darussalam,BRN,46245,46863,47364,47780,48150,48507,48843,49139,49378,49552,49642,49640,51500,53631,55761,57877,59962,62032,64060,66038,67957,69811,71609,73379,75166,76990,78867,80786,82748,84766,86830,88953,90169,91254,92260,93162,93951,94631,95198,95682,96072,96394,96938,97435,97788,97985,98012,97896,97693,97480,97310,97201,97132,97071,96986,96828,96594,96306,95963,95576,95153
Bhutan,BTN,215255,220171,225172,230386,235981,242088,248738,255888,263437,271243,279204,287272,295424,303737,312233,320955,329907,339047,348181,357099,365658,373595,380966,388166,395796,404184,413692,423923,433464,440479,443813,442888,438514,432511,427391,424832,425293,428124,432443,436980,440790,443798,446187,447725,448220,447860,448928,448995,448394,447629,446995,446587,446410,446390,446402,446354,446238,446093,445886,445555,445097
Botswana,BWA,487349,496810,507362,518705,529692,538498,546579,554169,561655,569668,578539,588191,602421,618287,635298,653244,672156,691884,711851,731359,749902,767106,775207,779736,782460,783749,783407,780704,774443,763516,747181,725604,730272,737527,743804,749557,754920,759783,763882,766935,768768,769312,774417,779971,785874,792601,800457,789043,776905,763094,746913,728267,718575,710095,702444,696549,692623,690189,688708,687149,684864
Central African Republic,CAF,1199833,1209385,1219520,1230333,1241805,1254064,1267278,1281229,1293933,1304890,1313234,1318620,1321683,1323875,1326960,1332257,1346489,1368843,1394120,1422633,1454348,1489957,1528900,1568685,1606041,1638886,1665999,1688523,1709461,1736842,1773158,1816165,1864703,1917002,1970390,2022833,2073866,2123866,2173047,2221734,2270203,2318072,2364848,2410837,2456474,2501009,2545259,2588531,2627865,2659223,2680138,2689405,2688997,2683757,2680333,2683457,2694567,2712573,2736176,2763118,2791700
Canada,CAN,5540868,5541960,5492247,5441341,5390322,5334312,5284252,5275481,5256115,5223145,5191541,5251122,5338874,5431539,5535266,5644413,5744499,5802629,5851095,5899610,5966378,6028261,6059713,6079070,6095759,6110627,6133043,6209133,6284808,6393132,6484711,6555149,6557450,6553895,6550090,6541741,6528757,6477628,6415815,6352957,6297326,6263120,6307139,6339248,6373758,6409413,6444858,6447564,6457255,6470872,6482352,6491507,6548144,6603314,6655859,6691082,6752474,6815687,6890028,6962996,7013300
Central Europe and the Baltics,CEB,50720764,50536773,50348488,50171639,50000758,49742764,49510175,49426266,49295856,49091160,48793751,48396177,48024446,47658493,47314974,47012972,46707268,46339977,45887515,45447656,45060451,44818701,44644943,44450473,44239869,44012261,43785677,43556426,43287672,43009719,42755874,42416617,42179934,42184309,42207856,42177731,42110439,42058345,42019601,41982938,41778237,41454011,41119861,40941382,40780148,40611197,40443275,40210586,39979949,39838803,39652932,39519532,39410425,39310807,39210929,39092740,38947818,38785967,38622475,38462782,38251199
Switzerland,CHE,1549119,1562740,1586363,1603842,1613632,1615391,1615259,1618201,1621354,1622399,1616732,1615981,1624969,1633603,1639000,1634860,1622138,1613257,1610009,1609847,1612903,1622449,1635792,1646672,1656461,1667607,1680210,1694724,1711247,1729128,1751004,1776902,1800314,1820462,1838809,1854939,1866968,1875299,1884719,1897587,1912232,1924949,1937671,1950193,1961798,1972472,1982943,1998781,2022351,2045843,2065228,2086420,2106933,2129601,2153942,2176779,2198922,2217678,2231010,2242521,2252847
Channel Islands,CHI,67074,67965,68916,69909,70945,72000,73080,74165,75267,76369,77461,78580,79860,81083,82214,83206,84035,84722,85365,86065,86911,87828,88527,89353,90260,91209,92217,93399,94560,95616,96516,97243,97876,98416,98998,99687,100466,101166,101917,102625,103217,103630,103880,104120,104479,105045,105868,106910,108055,109162,110119,110937,111720,112453,113242,114180,115293,116525,117789,118981,120027
Chile,CHL,2615894,2602412,2590963,2577816,2562308,2544418,2523715,2500669,2475726,2449929,2423576,2397885,2371535,2344818,2317489,2289422,2260880,2232069,2202752,2172754,2141927,2110476,2087362,2100682,2114640,2129818,2146284,2163835,2182312,2201315,2220711,2240482,2254989,2245692,2235024,2222563,2208381,2192502,2175217,2156454,2136729,2115932,2100770,2113551,2125988,2138869,2151926,2165456,2178924,2192333,2205503,2217618,2229160,2241071,2254856,2271327,2290337,2310651,2329159,2341903,2346132
China,CHN,558984648,550002064,551084460,561172774,570563019,585836641,603653090,620353282,637762514,656497738,675928190,695661123,713898765,730387430,744661478,756942270,768187399,778161684,785011465,788605339,791287529,793935216,797806157,802837860,806618745,810625110,815464944,821058949,826508924,831145763,835019382,836478966,836448460,835478607,833998460,831819843,828956742,825589438,821328874,815968942,809645853,800082679,788406300,775926016,762817902,749352182,735901746,722214159,708173810,693852712,679206337,665644371,653193546,640545579,627502483,614037700,600413466,586968786,572999405,558762145,544223674
Cote d'Ivoire,CIV,2884165,2944785,3008686,3073186,3134701,3191266,3278762,3366047,3456660,3555367,3665174,3786919,3918887,4059092,4204044,4345754,4458465,4568418,4674771,4871802,5074938,5284331,5499155,5717782,5937921,6158213,6377416,6595861,6811283,7019257,7233032,7452552,7676182,7901801,8126572,8348038,8566339,8781238,8988540,9180091,9353651,9510500,9652591,9785561,9916657,10052033,10192921,10338863,10490743,10649401,10814702,10987260,11167477,11354524,11547142,11742211,11939712,12139071,12339324,12539649,12739124
Cameroon,CMR,4455413,4519322,4585789,4654686,4725763,4798965,4874169,4951484,5030894,5112567,5196244,5245763,5292734,5337312,5378934,5417515,5466402,5563183,5662505,5764624,5869369,5976561,6085572,6196274,6308449,6421952,6536263,6659587,6810167,6960373,7108457,7254223,7397578,7538486,7675952,7810063,7940451,8068033,8194074,8320392,8448584,8579470,8712388,8847674,8985203,9125434,9268015,9412716,9558953,9706165,9853498,10000782,10147706,10293983,10439096,10582588,10724119,10863853,11000846,11135127,11266065
"Congo, Dem. Rep.",COD,11847895,12115621,12391977,12679558,12981465,13299424,13634819,13986314,14349200,14717460,15086718,15454510,15822222,16196041,16583473,16989652,17418727,17867484,18326224,18780878,19223022,19651018,20072032,20496224,20937038,21361189,21807031,22275028,22783647,23357738,24009322,24752627,25571493,26415728,27215035,27923434,28523782,29039020,29511727,30004336,30561320,31194272,31890439,32641875,33433387,34251593,35094796,35966554,36865328,37787006,38729918,39689943,40665645,41654275,42652337,43657619,44667921,45680987,46691418,47694889,48687370
"Congo, Rep.",COG,696476,706004,715907,726194,736837,747849,759173,770802,782736,795053,807694,820641,833849,847247,860065,871838,883321,894587,905588,916413,927067,937630,947959,957944,967344,981528,1000371,1019130,1037965,1057033,1076465,1096266,1116442,1137099,1158337,1180132,1202581,1224359,1246600,1269123,1291781,1314331,1336829,1360177,1385476,1413317,1444090,1477074,1510485,1542089,1570342,1594800,1616049,1635208,1653911,1673264,1693489,1714180,1735045,1755497,1775225
Colombia,COL,8628131,8664637,8692946,8712030,8719182,8834569,8948303,9055426,9153306,9240439,9314830,9375897,9424702,9465377,9507862,9552560,9596422,9639782,9681264,9719758,9754662,9786593,9815124,9839489,9859106,9873711,9915878,9966624,10013913,10059227,10102573,10144715,10183917,10220684,10252814,10279222,10298708,10312933,10320766,10323159,10320832,10313978,10301818,10283437,10258117,10225220,10185476,10140105,10088363,10029830,9965274,9892834,9813668,9735691,9668302,9616282,9582981,9563831,9545848,9512141,9451496
Comoros,COM,167134,168234,169221,170167,171152,172212,173411,176304,179360,182434,185447,188303,191108,194184,197937,202640,208445,215166,222395,229602,236368,242504,248167,253585,259071,264836,270893,277163,283629,290225,296890,303637,312348,321722,331242,340853,350554,360338,370209,380118,390064,400044,410071,420222,430585,441135,451886,462823,473953,485273,496767,508454,520292,532234,544194,556099,567905,579620,591240,602737,614108
Cabo Verde,CPV,168117,170523,173946,178265,183293,188777,194831,201342,207615,212732,216091,217323,216733,215095,213396,212357,212159,212630,213732,215335,217093,216523,216166,215763,214935,213493,209329,204388,199023,193727,188848,190274,192208,194369,196358,197903,198937,199549,199772,199696,199381,199155,198683,197980,197049,195914,194570,193053,191406,189722,188087,187960,187844,187722,187564,187332,187046,186722,186337,185906,185411
Costa Rica,CRI,874939,907039,940218,972118,997929,1022743,1046433,1069066,1090541,1110881,1130106,1148168,1165180,1182462,1204882,1228261,1252724,1278244,1304697,1331968,1359919,1388638,1418051,1448043,1477523,1493017,1507612,1521358,1534444,1547193,1559624,1571678,1583053,1593647,1603063,1611051,1617599,1622690,1625632,1625780,1622511,1597090,1568480,1537368,1504663,1471128,1436813,1401816,1366162,1330227,1293748,1257049,1221412,1186950,1153723,1121685,1090837,1061270,1032885,1005676,979547
Caribbean small states,CSS,2727264,2756399,2784589,2811091,2835017,2856311,2874013,2888584,2900706,2911572,2922392,2935152,2942531,2944527,2945684,2945858,2944731,2942655,2940065,2937778,2937643,2955566,2974165,2999165,3020984,3038193,3049874,3056976,3061808,3067641,3076908,3091355,3110220,3130932,3151350,3169882,3186159,3200802,3214189,3227098,3240589,3258164,3278475,3299971,3321602,3343726,3365791,3387831,3410077,3432918,3456333,3479138,3499683,3519531,3537936,3554434,3568808,3581067,3591207,3599298,3605311
Cuba,CUB,2970685,3019432,3072645,3128374,3183546,3236031,3284906,3330604,3374254,3417622,3461839,3460682,3447683,3431590,3409321,3379559,3342245,3298788,3249873,3197104,3141386,3083208,3040344,3001877,2966058,2935159,2909539,2888387,2868883,2847836,2822613,2809701,2810034,2807703,2804235,2800784,2797613,2789413,2775683,2761303,2745667,2729205,2711999,2700956,2695476,2687690,2677135,2664265,2650465,2637716,2627182,2619380,2613789,2614545,2616306,2616476,2615009,2610637,2603578,2594348,2583148
Curacao,CUW,31568,31403,31474,31570,31616,31610,31433,31261,31239,31235,31194,31248,30803,30135,29927,29586,29146,28671,27980,27417,26989,26637,26443,26175,25857,25542,25093,24463,23688,22915,22278,21737,20948,19879,18847,17881,17033,16162,15003,13667,12379,11600,11765,12167,12540,13031,13543,13992,14353,14633,15012,15422,15735,16084,16459,16822,17129,17294,17296,17164,16948
Cayman Islands,CYM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,CYP,368808,367889,365832,363071,360595,359110,358809,359452,360737,362206,363501,364550,365453,363553,353232,342569,331635,320495,308895,296634,283663,270093,256184,251103,249419,248559,248591,249394,250807,252643,254700,256958,259414,263703,268585,273400,278090,282659,287107,291455,295740,299903,305850,312445,319189,326096,333256,340578,347843,354738,361033,366629,371603,375909,379901,383753,387555,391231,394716,397867,400590
Czech Republic,CZE,3884203,3828621,3796447,3767312,3742092,3714591,3683086,3647740,3609212,3569696,3509276,3410396,3307236,3209952,3116999,3025935,2934700,2842920,2750823,2658820,2558840,2525602,2532083,2537294,2541852,2546549,2550807,2555063,2560031,2564468,2560605,2560857,2576685,2592690,2606957,2618682,2629045,2639712,2650698,2661463,2667547,2668884,2670674,2676944,2684795,2695557,2709931,2733000,2762927,2786024,2801381,2814526,2817206,2808362,2801426,2797131,2792682,2788986,2785892,2783117,2774917
Germany,DEU,20836712,20768071,20903401,21050022,21171231,21304018,21433533,21482504,21528785,21650322,21673217,21667597,21726668,21750209,21713675,21588023,21451007,21357951,21295639,21260524,21260046,21178760,21066192,21014164,21066224,21199425,21282187,21144436,21099829,21281747,21353187,21388515,21478393,21508871,21410142,21300002,21188909,21048482,20880191,20723743,20581651,20447486,20313617,20157322,19986263,19809155,19622894,19432962,19234290,19025087,18836498,18334806,18361215,18403327,18472108,18624547,18755733,18795376,18809664,18798952,18750282
Djibouti,DJI,41545,42970,44634,46499,48464,50464,52517,54659,56831,58960,61028,62874,64583,66623,69558,73660,79115,85522,91882,96989,100164,101127,100393,100403,102662,106721,112981,120912,129349,136718,141948,144951,146622,147161,147787,149401,152242,156009,160324,164599,168401,171688,174606,177224,179659,182019,184281,186439,188588,190862,193253,195798,198473,201197,203881,206408,208791,211025,213101,215010,216748
Dominica,DMA,37305,37896,38439,38980,39559,40210,40942,41753,42538,43218,43587,43321,42849,42282,41750,41327,41066,40910,40769,40527,40100,39319,37863,36306,34715,33155,31608,30089,28629,27263,26001,24997,24995,25030,25047,25007,24885,24704,24499,24315,24193,24119,23963,23839,23721,23573,23406,23219,23018,22814,22614,22416,22219,22029,21839,21652,21478,21309,21142,20978,20813
